         x          y          z
    -88.90     -63.34       1.00
    -88.86     -52.37       1.00
    -88.86     173.55       1.00
    -88.79    -147.13       1.00
    -88.79     -75.00       1.00
    -88.78     -92.90       1.00
    -88.78     -68.96       1.00
    -88.63    -148.22       1.00
    -88.63     -74.95       1.00
    -88.56    -165.14       1.00
    -88.56    -163.48       1.00
    -88.54    -108.59       1.00
    -88.54     -62.51       1.00
    -88.53    -161.17       1.00
    -88.53      61.88       1.00
    -88.51    -164.81       1.00
    -88.51    -123.26       1.00
    -88.51    -150.08       1.00
    -88.51     -68.25       1.00
    -88.43     -77.38       1.00
    -88.43     -69.39       1.00
    -88.41     -73.01       1.00
    -88.41     -67.32       1.00
    -88.38      83.16       1.00
    -88.38      90.85       1.00
    -88.37    -162.85       1.00
    -88.37    -112.44       1.00
    -88.35    -129.94       1.00
    -88.35     -52.21       1.00
    -88.31    -178.50       1.00
    -88.31    -174.79       1.00
    -88.31     -61.14       1.00
    -88.31     157.06       1.00
    -88.30     -67.30       1.00
    -88.30     -62.58       1.00
    -88.22    -177.94       1.00
    -88.22    -174.40       1.00
    -88.22     -91.75       1.00
    -88.22     -55.68       1.00
    -88.21    -139.99       1.00
    -88.21     -77.86       1.00
    -88.20     -47.00       1.00
    -88.20     -42.85       1.00
    -88.16     -79.30       1.00
    -88.16     -63.87       1.00
    -88.14     -56.36       1.00
    -88.14      93.72       1.00
    -88.14    -161.74       1.00
    -88.14     -97.87       1.00
    -88.12    -149.37       1.00
    -88.12     156.81       1.00
    -88.11     -76.58       1.00
    -88.11     -69.84       1.00
    -88.07     -90.32       1.00
    -88.07     -64.48       1.00
    -88.02     -91.37       1.00
    -88.02     -61.12       1.00
    -88.00     -66.54       1.00
    -88.00     -53.33       1.00
    -87.99    -157.98       1.00
    -87.99     -93.19       1.00
    -87.97     -82.48       1.00
    -87.97     -59.08       1.00
    -87.96     -92.23       1.00
    -87.96     -86.54       1.00
    -87.92    -118.44       1.00
    -87.92     -90.58       1.00
    -87.91    -170.24       1.00
    -87.91     177.75       1.00
    -87.91     -84.53       1.00
    -87.91     -63.89       1.00
    -87.88     -78.84       1.00
    -87.88     -75.80       1.00
    -87.87     -62.38       1.00
    -87.87     154.05       1.00
    -87.85    -165.79       1.00
    -87.85     -86.47       1.00
    -87.79     -88.11       1.00
    -87.79     -61.52       1.00
    -87.72    -158.68       1.00
    -87.72    -110.10       1.00
    -87.72     -79.99       1.00
    -87.72     -63.17       1.00
    -87.68     -80.83       1.00
    -87.68     -50.05       1.00
    -87.67     -81.16       1.00
    -87.67     -41.03       1.00
    -87.63     -85.91       1.00
    -87.63     -51.12       1.00
    -87.60    -110.21       1.00
    -87.60     -96.69       1.00
    -87.60     -81.32       1.00
    -87.60     -61.82       1.00
    -87.57     -83.96       1.00
    -87.57     -69.14       1.00
    -87.53     -67.63       1.00
    -87.53     -39.76       1.00
    -87.51     -88.47       1.00
    -87.51     -83.43       1.00
    -87.48    -113.91       1.00
    -87.48     -61.52       1.00
    -87.47    -157.85       1.00
    -87.47     -90.45       1.00
    -87.42    -168.00       1.00
    -87.42     178.27       1.00
    -87.41     -65.80       1.00
    -87.41     -61.02       1.00
    -87.37    -158.94       1.00
    -87.37     -93.57       1.00
    -87.37     -67.64       1.00
    -87.37     100.82       1.00
    -87.35     -65.00       1.00
    -87.35     -57.64       1.00
    -87.31    -108.84       1.00
    -87.31     163.69       1.00
    -87.29     -86.35       1.00
    -87.29     -63.63       1.00
    -87.29     -77.80       1.00
    -87.29     -51.23       1.00
    -87.27     -81.69       1.00
    -87.27     -63.19       1.00
    -87.23    -134.05       1.00
    -87.23     -80.13       1.00
    -87.20    -127.92       1.00
    -87.20     -75.07       1.00
    -87.17     -81.29       1.00
    -87.17     114.18       1.00
    -87.13     -85.71       1.00
    -87.13     -67.19       1.00
    -87.05    -106.43       1.00
    -87.05     -87.36       1.00
    -87.04     -67.00       1.00
    -87.04     -39.74       1.00
    -87.01     -66.76       1.00
    -87.01     -61.28       1.00
    -86.96     -55.41       1.00
    -86.96     -50.15       1.00
    -86.93    -119.76       1.00
    -86.93     -56.64       1.00
    -86.92     -66.83       1.00
    -86.92     124.05       1.00
    -86.92     -70.10       1.00
    -86.92     -62.95       1.00
    -86.90     -88.33       1.00
    -86.90     -56.52       1.00
    -86.84    -174.47       1.00
    -86.84     172.59       1.00
    -86.80     -44.98       1.00
    -86.80     -43.31       1.00
    -86.73     -58.96       1.00
    -86.73     127.82       1.00
    -86.67    -140.95       1.00
    -86.67     -61.40       1.00
    -86.65     -75.34       1.00
    -86.65     -65.17       1.00
    -86.65     -57.28       1.00
    -86.65     -47.92       1.00
    -86.59     -58.31       1.00
    -86.59      91.43       1.00
    -86.58     -69.36       1.00
    -86.58     -65.55       1.00
    -86.53     -99.31       1.00
    -86.53     -86.97       1.00
    -86.46    -136.64       1.00
    -86.46     -80.87       1.00
    -86.46     -67.28       1.00
    -86.46     -54.76       1.00
    -86.44     -89.88       1.00
    -86.44     -62.06       1.00
    -86.42     -67.01       1.00
    -86.42     -50.71       1.00
    -86.40     -52.65       1.00
    -86.40     -42.25       1.00
    -86.40     -96.50       1.00
    -86.40     -81.81       1.00
    -86.39     -64.82       1.00
    -86.39     176.84       1.00
    -86.36     -82.79       1.00
    -86.36     -65.14       1.00
    -86.33     -72.97       1.00
    -86.33     -62.93       1.00
    -86.30     -64.17       1.00
    -86.30     163.64       1.00
    -86.28     -76.94       1.00
    -86.28     -59.70       1.00
    -86.27    -169.28       1.00
    -86.27    -164.08       1.00
    -86.24    -103.78       1.00
    -86.24     -50.41       1.00
    -86.24     -49.30       1.00
    -86.24     156.33       1.00
    -86.23    -147.78       1.00
    -86.23     -62.12       1.00
    -86.22     -71.93       1.00
    -86.22     -49.83       1.00
    -86.22     -66.05       1.00
    -86.22     -62.66       1.00
